무게_kg,3구역_USD,4구역_USD,5구역_USD,7구역_USD,8구역_USD,9구역_USD
23.2,57.1411,73.7148,105.1748,149.0043,170.011,170.011
23.3,57.1411,73.7148,105.1748,149.0043,170.011,170.011
23.4,57.1411,73.7148,105.1748,149.0043,170.011,170.011
23.5,57.1411,73.7148,105.1748,149.0043,170.011,170.011
23.6,57.5415,74.344,106.0614,151.5354,172.2704,172.2704
23.7,57.5415,74.344,106.0614,151.5354,172.2704,172.2704
23.8,57.5415,74.344,106.0614,151.5354,172.2704,172.2704
23.9,57.5415,74.344,106.0614,151.5354,172.2704,172.2704
24.0,57.5415,74.344,106.0614,151.5354,172.2704,172.2704
24.1,57.9705,74.9589,107.0052,153.7805,174.8158,174.8158
24.2,57.9705,74.9589,107.0052,153.7805,174.8158,174.8158
24.3,57.9705,74.9589,107.0052,153.7805,174.8158,174.8158
24.4,57.9705,74.9589,107.0052,153.7805,174.8158,174.8158
24.5,58.3566,75.5881,107.7059,156.3116,177.1467,177.1467
24.6,58.3566,75.5881,107.7059,156.3116,177.1467,177.1467
24.7,58.3566,75.5881,107.7059,156.3116,177.1467,177.1467
24.8,58.3566,75.5881,107.7059,156.3116,177.1467,177.1467
24.9,58.3566,75.5881,107.7059,156.3116,177.1467,177.1467
25.0,58.7856,76.2173,108.5496,158.5281,179.02,179.02
25.1,58.7856,76.2173,108.5496,158.5281,179.02,179.02
25.2,58.7856,76.2173,108.5496,158.5281,179.02,179.02
25.3,58.7856,76.2173,108.5496,158.5281,179.02,179.02
25.4,58.7856,76.2173,108.5496,158.5281,179.02,179.02
25.5,59.186,76.8465,109.2074,159.5863,180.307,180.307
25.6,59.186,76.8465,109.2074,159.5863,180.307,180.307
25.7,59.186,76.8465,109.2074,159.5863,180.307,180.307
25.8,59.186,76.8465,109.2074,159.5863,180.307,180.307
25.9,59.6007,77.4614,109.9224,161.0878,181.88,181.88
26.0,59.6007,77.4614,109.9224,161.0878,181.88,181.88
26.1,59.6007,77.4614,109.9224,161.0878,181.88,181.88
26.2,59.6007,77.4614,109.9224,161.0878,181.88,181.88
26.3,59.6007,77.4614,109.9224,161.0878,181.88,181.88
26.4,60.0154,78.0763,110.6088,162.1317,183.2242,183.2242
26.5,60.0154,78.0763,110.6088,162.1317,183.2242,183.2242
26.6,60.0154,78.0763,110.6088,162.1317,183.2242,183.2242
26.7,60.0154,78.0763,110.6088,162.1317,183.2242,183.2242
26.8,60.4158,78.6912,111.2523,163.1899,184.4254,184.4254
26.9,60.4158,78.6912,111.2523,163.1899,184.4254,184.4254
27.0,60.4158,78.6912,111.2523,163.1899,184.4254,184.4254
27.1,60.4158,78.6912,111.2523,163.1899,184.4254,184.4254
27.2,60.4158,78.6912,111.2523,163.1899,184.4254,184.4254
27.3,60.8162,79.3204,111.81,165.1347,187.0566,187.0566
27.4,60.8162,79.3204,111.81,165.1347,187.0566,187.0566
27.5,60.8162,79.3204,111.81,165.1347,187.0566,187.0566
27.6,60.8162,79.3204,111.81,165.1347,187.0566,187.0566
27.7,61.2309,79.9353,112.3248,167.1796,190.2169,190.2169
27.8,61.2309,79.9353,112.3248,167.1796,190.2169,190.2169
27.9,61.2309,79.9353,112.3248,167.1796,190.2169,190.2169
28.0,61.2309,79.9353,112.3248,167.1796,190.2169,190.2169
28.1,61.2309,79.9353,112.3248,167.1796,190.2169,190.2169
28.2,61.6456,80.5788,112.9397,168.009,193.3629,193.3629
28.3,61.6456,80.5788,112.9397,168.009,193.3629,193.3629
28.4,61.6456,80.5788,112.9397,168.009,193.3629,193.3629
28.5,61.6456,80.5788,112.9397,168.009,193.3629,193.3629
28.6,62.046,81.208,113.4545,168.7955,196.4374,196.4374
28.7,62.046,81.208,113.4545,168.7955,196.4374,196.4374
28.8,62.046,81.208,113.4545,168.7955,196.4374,196.4374
28.9,62.046,81.208,113.4545,168.7955,196.4374,196.4374
29.0,62.046,81.208,113.4545,168.7955,196.4374,196.4374
29.1,62.4607,81.8515,113.812,169.6678,199.4404,199.4404
29.2,62.4607,81.8515,113.812,169.6678,199.4404,199.4404
29.3,62.4607,81.8515,113.812,169.6678,199.4404,199.4404
29.4,62.4607,81.8515,113.812,169.6678,199.4404,199.4404
29.5,62.8897,82.4521,114.3411,170.1969,202.6722,202.6722
29.6,62.8897,82.4521,114.3411,170.1969,202.6722,202.6722
29.7,62.8897,82.4521,114.3411,170.1969,202.6722,202.6722
29.8,62.8897,82.4521,114.3411,170.1969,202.6722,202.6722
29.9,62.8897,82.4521,114.3411,170.1969,202.6722,202.6722
30.0,63.2901,83.9107,114.7558,170.8976,205.3034,205.3034
